Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,
Alabama,US,2020-05-10 02:32:34,32.3182,-86.9023,9668,390,,9278.0,1,206.189216781687,125494,1228,4.03392635498552,84000001,USA,2676.40769247011,12.7016963177493,
Alaska,US,2020-05-10 02:32:34,61.3707,-152.4044,378,10,318,50.0,2,63.2372450643999,26449,,2.64550264550265,84000002,USA,4424.76691721776,,
American Samoa,US,2020-05-10 02:32:34,-14.271,-170.132,0,0,,0.0,60,0.0,83,,,16,ASM,149.170575654643,,
Arizona,US,2020-05-10 02:32:34,33.7298,-111.4312,10960,532,2684,7744.0,4,150.575987498896,128940,1514,4.85401459854015,84000004,USA,1771.46604271055,13.8138686131387,
Arkansas,US,2020-05-10 02:32:34,34.9697,-92.3731,3747,88,2968,691.0,5,144.72618477907,65528,471,2.34854550306912,84000005,USA,2530.98944120706,12.5700560448359,
California,US,2020-05-10 02:32:34,36.1162,-119.6816,66558,2687,,63871.0,6,169.753487880981,912570,,4.03708044111902,84000006,USA,2327.47288733957,,
Colorado,US,2020-05-10 02:32:34,39.0598,-105.3111,19375,967,2974,15434.0,8,341.90293556537,96772,3600,4.99096774193548,84000008,USA,1707.69707770488,18.5806451612903,
Connecticut,US,2020-05-10 02:32:34,41.5978,-72.7554,32984,2932,5413,24639.0,9,925.142912758496,123569,9389,8.88915837982052,84000009,USA,3465.89208666792,28.4653165170992,
Delaware,US,2020-05-10 02:32:34,39.3185,-75.5071,6277,221,2450,3606.0,10,644.612041521354,29296,,3.52079018639477,84000010,USA,3008.53184139073,,
Diamond Princess,US,2020-05-10 02:32:34,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,,
District of Columbia,US,2020-05-10 02:32:34,38.8974,-77.0268,6102,311,879,4912.0,11,864.613339870124,28183,,5.09668960996395,84000011,USA,3993.34607629625,,
Florida,US,2020-05-10 02:32:34,27.7663,-81.6868,40001,1715,,38286.0,12,188.394208416998,527731,7325,4.28739281517962,84000012,USA,2485.47446319119,18.312042198945,
Georgia,US,2020-05-10 02:32:34,33.0406,-83.6431,32588,1403,,31185.0,13,321.399910231313,235324,5987,4.30526574199092,84000013,USA,2320.88843977149,18.3717932981466,
Grand Princess,US,2020-05-10 02:32:34,,,103,3,,100.0,99999,,,,2.9126213592233,84099999,USA,,,
Guam,US,2020-05-10 02:32:34,13.4443,144.7937,151,5,124,22.0,66,91.9447844168813,3794,,3.3112582781457,316,GUM,2310.18882170628,,
Hawaii,US,2020-05-10 02:32:34,21.0943,-157.4983,631,17,566,48.0,15,44.5688825853625,36262,81,2.69413629160063,84000015,USA,2561.2627897154,12.8367670364501,
Idaho,US,2020-05-10 02:32:34,44.2405,-114.4788,2205,67,1442,696.0,16,136.914256903304,31806,206,3.03854875283447,84000016,USA,1974.91830161745,9.34240362811791,
Illinois,US,2020-05-10 02:32:34,40.3495,-88.9861,76085,3349,,72736.0,17,648.323531719965,416331,,4.40165604258395,84000017,USA,3547.57421679049,,
Indiana,US,2020-05-10 02:32:34,39.8494,-86.2583,23732,1490,,22242.0,18,362.65314424188,135686,4389,6.27844260913535,84000018,USA,2073.44322137215,18.4940165177819,
Iowa,US,2020-05-10 02:32:34,42.0115,-93.2105,11671,252,5011,6408.0,19,445.336822460147,71476,,2.15919801216691,84000019,USA,2727.34938926926,,
Kansas,US,2020-05-10 02:32:34,38.5266,-96.7265,6829,174,350,6305.0,20,280.050588725473,49933,635,2.54795724117733,84000020,USA,2047.70333091654,9.29857958705521,
Kentucky,US,2020-05-10 02:32:34,37.6681,-84.6701,6440,304,2266,3870.0,21,188.122406926877,86447,1696,4.72049689440994,84000021,USA,2525.25119745462,26.3354037267081,
