Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Tests,Hospitalized
Alabama,US,10164,403,,9761.0,129444,1256
Alaska,US,379,10,328,41.0,28680,
American Samoa,US,0,0,,0.0,105,
Arizona,US,11383,542,2852,7989.0,150241,1537
Arkansas,US,4043,94,3149,800.0,69030,480
California,US,69329,2779,,66550.0,991897,
Colorado,US,19879,987,3076,15816.0,108790,3689
Connecticut,US,33765,3008,5413,25344.0,132508,9389
Delaware,US,6565,225,2619,3721.0,31928,
Diamond Princess,US,49,0,,49.0,,
District of Columbia,US,6389,328,881,5180.0,30261,
Florida,US,40982,1735,,39247.0,561057,7458
Georgia,US,34002,1444,,32558.0,251288,6015
Grand Princess,US,103,3,,100.0,,
Guam,US,151,5,124,22.0,3989,
Hawaii,US,634,17,561,56.0,37683,81
Idaho,US,2260,70,1473,717.0,32142,207
Illinois,US,79007,3459,,75548.0,442425,
Indiana,US,24627,1540,,23087.0,146688,4389
Iowa,US,12373,271,5249,6853.0,77792,
Kansas,US,7159,180,376,6603.0,54109,660
Kentucky,US,6677,311,2308,4058.0,86923,1757
Louisiana,US,31815,2308,22608,6899.0,220830,
Maine,US,1462,65,872,525.0,23554,200
Maryland,US,33373,1683,2298,29392.0,164780,6183
Massachusetts,US,78462,5108,,73354.0,394728,7732
Michigan,US,47552,4584,22686,20282.0,298948,
Minnesota,US,11799,591,7536,3672.0,115781,1716
Mississippi,US,9674,435,6268,2971.0,95885,1546
Missouri,US,10157,514,,9643.0,115620,
Montana,US,459,16,423,20.0,22572,62
Nebraska,US,8407,98,,8309.0,46239,
Nevada,US,6152,312,183,5657.0,60084,
New Hampshire,US,3160,133,1229,1798.0,34883,318
New Jersey,US,140206,9340,15642,115224.0,425933,
New Mexico,US,5069,208,1285,3576.0,102498,789
New York,US,337055,26988,58363,251704.0,1204651,73143
North Carolina,US,15274,575,9115,5584.0,195865,
North Dakota,US,1518,36,846,636.0,47014,115
Northern Mariana Islands,US,19,2,12,5.0,2695,
Ohio,US,24777,1357,,23420.0,210530,4413
Oklahoma,US,4613,274,3241,1098.0,95992,828
Oregon,US,3286,130,1125,2031.0,77606,673
Pennsylvania,US,60459,3832,,56627.0,288858,
Puerto Rico,US,2256,113,,2143.0,2256,
Rhode Island,US,11450,430,841,10179.0,93332,1280
South Carolina,US,7792,346,4120,3326.0,84457,1252
South Dakota,US,3614,34,2187,1393.0,24578,263
Tennessee,US,15544,251,8038,7255.0,273277,1344
Texas,US,40555,1117,21713,17725.0,525697,
Utah,US,6362,68,3181,3113.0,150585,517
Vermont,US,926,53,785,88.0,20871,
Virgin Islands,US,69,5,60,4.0,1179,
Virginia,US,25070,850,3273,20947.0,150617,4777
Washington,US,17122,945,,16177.0,248875,
West Virginia,US,1366,54,775,537.0,63469,
Wisconsin,US,10418,409,5176,4833.0,118451,1846
Wyoming,US,669,7,443,219.0,12065,66
