Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Tests,Hospitalized
Alabama,US,10464,435,,10029.0,1,223.165490732682,133218,1287
Alaska,US,383,10,334,39.0,2,64.0737165599608,29961,
American Samoa,US,0,0,,0.0,60,0.0,105,
Arizona,US,11736,562,2909,8265.0,4,161.237207051737,122842,1564
Arkansas,US,4164,95,3220,849.0,5,160.83262167602,70444,485
California,US,70978,2879,,68099.0,6,181.026519168489,1033370,
Colorado,US,20157,1010,3114,16033.0,8,355.702579209866,108657,3663
Connecticut,US,34333,3041,5413,25879.0,9,962.9799788909,138424,9389
Delaware,US,6741,237,2802,3702.0,10,692.262190838848,33291,
Diamond Princess,US,49,0,,49.0,88888,,,
District of Columbia,US,6485,336,886,5263.0,11,918.881925443748,31050,
Florida,US,41923,1779,,40144.0,12,197.446323828549,579604,7654
Georgia,US,34924,1498,,33426.0,13,344.438764726843,262179,6130
Grand Princess,US,103,3,,100.0,99999,,,
Guam,US,152,5,124,23.0,66,92.5536902739467,4091,
Hawaii,US,635,17,561,57.0,15,44.8514111595962,37939,81
Idaho,US,2293,69,1508,716.0,16,142.378408652733,32705,210
Illinois,US,83021,3601,,79420.0,17,707.425483694857,471691,
Indiana,US,25127,1578,,23549.0,18,383.970400950857,150510,
Iowa,US,12912,289,5618,7005.0,19,492.690348008347,81288,
Kansas,US,7240,184,376,6680.0,20,296.905295412567,54109,660
Kentucky,US,6853,321,2335,4197.0,21,200.186778675449,104024,1767
Louisiana,US,32050,2347,22608,7095.0,22,697.153482091313,228012,
Maine,US,1477,65,913,499.0,23,125.808556344686,23569,202
Maryland,US,34061,1756,2394,29911.0,24,573.095745065691,169503,6287
Massachusetts,US,79332,5141,,74191.0,25,1155.80762298048,401496,7842
Michigan,US,48021,4674,22686,20661.0,26,602.729244775399,307890,
Minnesota,US,12494,614,,11880.0,27,252.585391612483,120834,1799
Mississippi,US,9908,457,6268,3183.0,28,342.220898961939,97692,1582
Missouri,US,10269,529,,9740.0,29,175.255177272429,121296,
Montana,US,461,16,425,20.0,30,53.2340554765834,23035,63
Nebraska,US,8532,100,,8432.0,31,559.375639230249,47943,
Nevada,US,6313,321,185,5807.0,32,209.268613984102,64075,
New Hampshire,US,3239,142,1231,1866.0,33,243.873423744944,35561,318
New Jersey,US,140917,9531,15642,115744.0,34,1586.51188501935,433060,
New Mexico,US,5212,219,1300,3693.0,35,312.557532594557,106721,886
New York,US,338485,27284,58679,252522.0,36,2007.49954406686,1225113,73143
North Carolina,US,15622,600,9115,5907.0,37,157.513580278033,202244,
North Dakota,US,1571,38,877,656.0,38,259.062231002378,47832,122
Northern Mariana Islands,US,19,2,12,5.0,69,34.4552444508922,2873,
Ohio,US,25250,1436,,23814.0,39,225.973835362176,217731,4539
Oklahoma,US,4732,278,3423,1031.0,40,129.373250576739,96111,828
Oregon,US,3358,130,1125,2103.0,41,83.8017965228493,77606,673
Pennsylvania,US,61310,3914,,57396.0,42,487.070622539175,295980,
Puerto Rico,US,2299,114,,2185.0,72,78.3730050507805,2299,
Rhode Island,US,11614,444,863,10307.0,44,1096.3212729183,95239,1307
South Carolina,US,7927,355,6817,755.0,45,157.282526203007,93140,1338
South Dakota,US,3663,39,2309,1315.0,46,497.763258739054,25197,271
Tennessee,US,16111,266,8336,7509.0,47,245.410117915974,283824,1363
Texas,US,41432,1146,21713,18573.0,48,180.260132007742,525697,
Utah,US,6432,73,3267,3092.0,49,224.433525176543,153485,535
Vermont,US,927,53,787,87.0,50,151.820121816404,21262,
Virgin Islands,US,69,6,61,2.0,78,64.3248685535295,1184,
Virginia,US,25800,892,3400,21508.0,51,326.283666973137,155329,4929
Washington,US,17330,962,,16368.0,53,229.554575375033,252108,
West Virginia,US,1378,58,803,517.0,54,104.157375899283,65069,
Wisconsin,US,10611,418,5371,4822.0,55,205.060477477263,123359,1877
Wyoming,US,675,7,477,191.0,56,135.749336336578,15059,67
