Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-05-08 02:32:36,32.3182,-86.9023,9046,369,,8677.0,1,192.923836885306,115173,1178,4.07915100596949,84000001,USA,2456.29195949495,13.02233031174
Alaska,US,2020-05-08 02:32:36,61.3707,-152.4044,374,10,291,73.0,2,62.5680678679513,24341,,2.67379679144385,84000002,USA,4072.11053468931,
American Samoa,US,2020-05-08 02:32:36,-14.271,-170.132,0,0,,0.0,60,0.0,83,,,16,ASM,149.170575654643,
Arizona,US,2020-05-08 02:32:36,33.7298,-111.4312,9945,450,1722,7773.0,4,136.631222233259,111086,1449,4.52488687782805,84000004,USA,1526.17556088525,14.5701357466063
Arkansas,US,2020-05-08 02:32:36,34.9697,-92.3731,3703,87,2123,1493.0,5,143.026704626873,59995,462,2.34944639481502,84000005,USA,2317.27981206839,12.476370510397
California,US,2020-05-08 02:32:36,36.1162,-119.6816,62148,2535,,59613.0,6,158.505961189147,842874,,4.07897277466692,84000006,USA,2149.71605733637,
Colorado,US,2020-05-08 02:32:36,39.0598,-105.3111,18370,944,2869,14557.0,8,324.168099423785,91347,2986,5.13881328252586,84000008,USA,1611.96425574657,16.254763200871
Connecticut,US,2020-05-08 02:32:36,41.5978,-72.7554,31784,2797,5413,23574.0,9,891.485033322703,116174,9389,8.8000251698968,84000009,USA,3258.47540464484,29.5400201359174
Delaware,US,2020-05-08 02:32:36,39.3185,-75.5071,5939,202,2110,3627.0,10,609.901372406456,27326,,3.40124600101027,84000010,USA,2806.22409536602,
Diamond Princess,US,2020-05-08 02:32:36,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-08 02:32:36,38.8974,-77.0268,5654,285,825,4544.0,11,801.134681026824,25856,,5.04067916519278,84000011,USA,3663.62545324187,
Florida,US,2020-05-08 02:32:36,27.7663,-81.6868,38828,1600,,37228.0,12,182.869686368221,492950,6990,4.12073761203255,84000012,USA,2321.66508435187,18.0024724425672
Georgia,US,2020-05-08 02:32:36,33.0406,-83.6431,31618,1355,,30263.0,13,311.833262602604,217303,5835,4.28553355683471,84000013,USA,2143.1559068674,18.4546777152255
Grand Princess,US,2020-05-08 02:32:36,,,103,3,,100.0,99999,,,,2.9126213592233,84099999,USA,,
Guam,US,2020-05-08 02:32:36,13.4443,144.7937,149,5,123,21.0,66,90.7269727027504,3715,,3.35570469798658,316,GUM,2262.08525899811,
